Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-03-09,496.0,496.0,496.0,496.0
2014-03-16,496.0,496.0,496.0,496.0
2014-03-23,469.2,504.27,462.76,483.16
2014-03-30,345.92,542.33,356.41,442.06
2014-04-06,236.61,510.66,395.19,420.7
2014-04-13,220.43,444.91,380.57,370.96
2014-04-20,211.95,441.63,360.13,402.26
2014-04-27,245.58,431.64,340.24,379.48
2014-05-04,216.17,717.66,399.15,439.76
2014-05-11,225.77,417.59,373.89,370.36
2014-05-18,233.61,446.56,323.6,357.43
2014-05-25,242.8,340.43,295.17,300.15
2014-06-01,223.14,513.14,327.06,370.1
2014-06-08,252.46,401.42,319.76,365.92
2014-06-15,250.19,456.2,380.03,371.83
2014-06-22,229.96,369.98,361.69,367.22
2014-06-29,259.03,384.82,370.82,369.41
2014-07-06,232.7,439.02,368.34,378.25
2014-07-13,251.13,421.07,390.46,374.43
2014-07-20,274.89,434.21,429.48,388.22
2014-07-27,276.19,453.9,323.52,331.66
2014-08-03,312.87,436.64,396.34,441.88
2014-08-10,261.37,416.28,411.86,396.83
2014-08-17,239.69,414.67,389.42,405.8
2014-08-24,304.7,317.79,345.55,301.35
2014-08-31,224.84,433.3,342.9,392.6
2014-09-07,241.08,413.54,314.95,404.47
2014-09-14,260.67,437.09,375.11,356.04
2014-09-21,232.37,588.31,381.98,399.1
2014-09-28,211.99,559.97,415.33,398.78
2014-10-05,253.92,425.71,389.29,375.68
2014-10-12,213.52,240.76,203.29,312.78
2014-10-19,263.07,439.03,505.19,550.25
2014-10-26,256.27,520.85,471.41,511.68
2014-11-02,258.31,427.4,457.56,478.77
2014-11-09,233.59,446.7,421.7,501.99
2014-11-16,267.53,387.6,356.64,440.64
2014-11-23,245.13,376.78,368.04,451.45
2014-11-30,240.13,347.46,455.5,457.04
2014-12-07,245.44,491.58,422.74,438.79
2014-12-14,226.12,437.35,436.63,510.25
2014-12-21,232.38,394.28,450.73,441.62
2014-12-28,232.62,380.42,454.45,430.28
2015-01-04,219.95,431.83,397.57,472.29
2015-01-11,223.34,441.71,432.04,435.77
2015-01-18,218.32,405.97,452.16,415.64
2015-01-25,219.66,443.72,596.38,451.35
2015-02-01,222.27,416.13,503.32,540.19
2015-02-08,220.91,410.35,417.86,457.61
2015-02-15,221.29,371.46,422.05,392.28
2015-02-22,226.56,418.22,409.33,518.14
2015-03-01,239.05,383.86,358.3,475.22
2015-03-08,236.43,462.85,323.27,442.53
2015-03-15,239.08,368.7,351.6,422.14
2015-03-22,242.5,451.82,378.22,419.07
2015-03-29,243.56,363.89,334.55,421.98
2015-04-05,222.45,403.3,355.55,410.6
2015-04-12,216.64,344.41,312.29,399.53
2015-04-19,215.7,359.62,330.63,354.17
2015-04-26,223.99,417.11,307.08,380.21
2015-05-03,236.93,364.02,331.52,388.18
2015-05-10,235.86,440.33,429.18,398.16
2015-05-17,209.15,413.71,358.96,396.9
2015-05-24,214.58,394.82,321.24,374.42
2015-05-31,228.36,443.72,410.13,342.81
2015-06-07,236.79,428.57,299.2,351.33
