Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-02-16,,,,
2014-02-23,,,,
2014-03-02,,,,
2014-03-09,151.95,207.73,356.71,352.83
2014-03-16,155.07,215.18,363.78,346.04
2014-03-23,160.25,220.91,374.35,348.68
2014-03-30,165.91,228.93,360.78,357.89
2014-04-06,172.47,240.03,347.45,367.68
2014-04-13,181.13,252.6,345.52,360.14
2014-04-20,191.91,260.64,351.26,353.17
2014-04-27,198.74,275.75,348.72,339.34
2014-05-04,201.6,286.0,353.56,331.55
2014-05-11,204.55,284.77,345.99,334.96
2014-05-18,205.95,283.01,337.09,332.35
2014-05-25,207.78,284.19,332.33,316.88
2014-06-01,208.04,273.27,319.34,306.68
2014-06-08,209.46,269.71,321.68,297.46
2014-06-15,203.05,265.88,306.66,284.47
2014-06-22,196.95,259.78,299.11,274.68
2014-06-29,192.32,236.55,284.92,267.22
2014-07-06,190.82,235.22,281.01,258.96
2014-07-13,194.21,235.75,285.9,254.46
2014-07-20,195.27,243.14,280.57,255.93
2014-07-27,196.32,243.29,272.87,253.96
2014-08-03,196.69,245.8,285.92,260.0
2014-08-10,199.61,248.53,284.83,267.25
2014-08-17,215.1,267.02,294.94,280.25
2014-08-24,216.43,271.97,291.28,282.23
2014-08-31,216.54,276.08,294.43,291.11
2014-09-07,213.2,271.9,288.22,300.17
2014-09-14,209.68,265.38,303.04,321.9
2014-09-21,206.77,256.7,304.19,340.89
2014-09-28,203.03,258.02,300.71,355.16
2014-10-05,199.39,251.19,293.11,362.3
2014-10-12,186.62,237.31,280.6,353.58
2014-10-19,175.98,225.66,279.66,359.01
2014-10-26,174.35,223.93,286.74,375.29
2014-11-02,172.51,218.03,285.21,370.28
2014-11-09,169.5,223.57,277.6,355.66
2014-11-16,168.69,230.1,265.48,351.09
2014-11-23,168.77,233.85,269.0,338.03
2014-11-30,170.26,231.04,279.84,331.96
2014-12-07,173.38,231.04,292.56,344.01
2014-12-14,183.14,229.8,291.05,346.68
2014-12-21,183.89,234.44,281.65,329.8
2014-12-28,184.46,239.52,281.58,321.79
2015-01-04,188.47,235.93,289.24,322.45
2015-01-11,189.86,230.66,292.43,318.52
2015-01-18,189.05,226.14,289.8,317.61
2015-01-25,198.33,227.21,278.05,312.63
2015-02-01,206.3,229.33,262.96,306.12
2015-02-08,207.6,229.6,254.78,301.63
2015-02-15,210.17,227.28,253.79,298.64
2015-02-22,216.91,217.97,250.16,302.85
2015-03-01,214.84,216.26,247.05,302.97
2015-03-08,211.35,214.2,241.6,301.51
2015-03-15,212.62,207.42,229.49,286.69
2015-03-22,211.32,197.63,223.23,278.47
2015-03-29,198.88,193.98,222.82,265.04
2015-04-05,192.32,186.97,228.04,253.83
2015-04-12,188.79,185.72,233.17,245.72
2015-04-19,197.86,183.56,223.59,267.68
2015-04-26,199.9,179.42,214.69,262.78
2015-05-03,204.63,177.55,205.26,255.6
2015-05-10,213.65,179.11,206.27,254.57
2015-05-17,212.51,178.57,204.66,252.13
2015-05-24,209.3,175.31,202.32,250.73
2015-05-31,209.75,173.82,199.28,255.64
2015-06-07,211.51,175.16,198.14,259.13
2015-06-14,,,,
2015-06-21,,,,
