Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-04-06,174.6,875.46,743.13,546.33
2014-04-13,168.16,974.77,774.33,542.41
2014-04-20,157.72,642.46,332.37,272.03
2014-04-27,163.4,544.43,655.45,646.76
2014-05-04,161.63,513.7,744.81,634.56
2014-05-11,161.4,679.08,815.07,563.62
2014-05-18,167.21,451.25,530.18,479.17
2014-05-25,176.36,547.4,576.45,435.89
2014-06-01,162.66,434.52,420.41,622.76
2014-06-08,173.12,573.51,918.9,520.37
2014-06-15,184.8,645.78,419.02,434.58
2014-06-22,181.11,578.16,449.89,399.76
2014-06-29,178.12,509.75,513.74,376.01
2014-07-06,180.5,579.57,563.81,444.54
2014-07-13,183.98,412.01,452.68,398.01
2014-07-20,185.48,192.85,211.29,202.3
2014-07-27,192.91,303.23,307.76,295.81
2014-08-03,174.03,489.63,536.41,368.81
2014-08-10,175.93,520.21,563.77,451.77
2014-08-17,170.95,415.99,596.58,513.61
2014-08-24,157.81,390.31,454.62,301.35
2014-08-31,151.18,375.13,685.12,296.13
2014-09-07,168.03,302.6,661.7,612.46
2014-09-14,172.8,477.16,519.88,571.68
2014-09-21,170.37,600.9,849.86,576.79
2014-09-28,159.42,500.5,705.01,502.03
2014-10-05,158.21,465.49,617.34,542.82
2014-10-12,150.46,491.04,730.25,919.29
2014-10-19,161.52,533.91,955.15,843.62
2014-10-26,155.04,307.78,374.05,681.59
2014-11-02,197.45,610.56,812.57,824.77
2014-11-09,151.61,479.47,926.97,953.98
2014-11-16,164.95,691.53,1192.77,755.89
2014-11-23,159.99,640.51,1029.8,749.42
2014-11-30,147.38,607.52,990.4,931.81
2014-12-07,149.2,546.15,1055.72,811.83
2014-12-14,142.68,784.43,1313.35,744.53
2014-12-21,156.22,755.48,1087.98,804.59
2014-12-28,148.01,786.09,1568.26,1117.95
2015-01-04,149.53,716.86,1031.65,857.15
2015-01-11,151.48,512.96,733.06,1093.11
2015-01-18,147.97,480.2,1054.28,977.33
2015-01-25,145.16,581.29,1066.07,1038.46
2015-02-01,150.12,657.96,1030.2,781.96
2015-02-08,143.48,576.76,1023.71,950.04
2015-02-15,144.36,581.89,653.37,913.25
2015-02-22,146.23,300.26,520.27,923.69
2015-03-01,148.0,728.47,846.29,700.55
2015-03-08,145.74,971.39,776.6,734.28
2015-03-15,148.57,417.55,764.98,735.04
2015-03-22,146.23,634.09,869.11,828.15
2015-03-29,144.36,599.79,609.0,969.16
2015-04-05,142.19,291.33,543.22,887.08
2015-04-12,145.57,491.79,393.07,897.56
2015-04-19,128.84,449.0,594.54,736.97
2015-04-26,153.5,619.04,522.92,648.32
2015-05-03,132.87,523.39,511.35,746.87
2015-05-10,155.87,573.77,617.84,904.31
2015-05-17,150.75,572.33,706.33,923.82
2015-05-24,150.85,493.15,470.83,844.23
2015-05-31,154.56,539.43,634.9,583.13
2015-06-07,174.44,510.54,482.03,652.85
