Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-03-16,1321.34,1507.89,1506.02,1461.34
2014-03-23,1323.15,1480.25,1480.55,1422.32
2014-03-30,1334.11,1499.52,1499.05,1412.28
2014-04-06,1250.37,1456.71,1428.58,1322.07
2014-04-13,1048.6,1299.52,1263.11,1156.27
2014-04-20,846.38,1155.28,1103.79,977.92
2014-04-27,629.29,988.82,938.43,799.91
2014-05-04,433.64,834.44,844.79,681.53
2014-05-11,391.99,819.55,842.02,690.93
2014-05-18,374.43,823.72,838.25,698.71
2014-05-25,350.22,811.72,835.67,689.95
2014-06-01,332.32,794.73,821.02,684.55
2014-06-08,316.77,797.44,821.43,667.18
2014-06-15,298.19,773.29,817.81,657.86
2014-06-22,285.39,742.13,797.49,641.3
2014-06-29,288.12,716.87,754.88,630.42
2014-07-06,291.22,693.18,691.46,608.42
2014-07-13,294.71,655.83,661.82,595.68
2014-07-20,297.75,639.13,662.25,602.9
2014-07-27,297.87,624.39,668.28,629.8
2014-08-03,295.29,593.47,678.03,629.78
2014-08-10,291.39,584.02,689.91,646.82
2014-08-17,288.73,580.63,718.72,668.82
2014-08-24,284.91,618.66,763.06,710.43
2014-08-31,283.65,643.6,785.25,711.8
2014-09-07,284.94,662.47,803.48,728.88
2014-09-14,277.75,663.53,807.69,738.95
2014-09-21,269.48,668.13,813.64,730.78
2014-09-28,263.59,664.48,798.24,715.69
2014-10-05,260.29,677.84,805.04,729.13
2014-10-12,257.86,678.12,798.75,718.87
2014-10-19,261.12,683.22,780.57,722.04
2014-10-26,260.15,651.48,783.72,721.28
2014-11-02,254.95,660.1,802.38,730.11
2014-11-09,251.09,681.75,854.61,786.35
2014-11-16,258.19,706.18,876.0,829.38
2014-11-23,262.36,748.14,909.18,887.51
2014-11-30,266.98,782.1,927.47,918.85
2014-12-07,275.9,794.64,984.11,958.84
2014-12-14,287.92,823.93,1054.52,1003.9
2014-12-21,291.67,831.7,1100.57,1027.5
2014-12-28,298.0,871.01,1141.58,1057.4
2015-01-04,304.7,896.07,1157.92,1067.87
2015-01-11,308.61,921.59,1160.85,1050.45
2015-01-18,308.95,923.11,1176.26,1051.98
2015-01-25,308.47,909.88,1182.26,1035.97
2015-02-01,313.27,882.09,1150.24,1029.69
2015-02-08,314.65,871.09,1061.57,1001.13
2015-02-15,324.29,843.55,997.94,964.29
2015-02-22,326.93,840.25,949.29,940.15
2015-03-01,332.54,815.75,892.9,887.53
2015-03-08,327.91,810.88,821.63,839.76
2015-03-15,325.51,807.37,739.42,781.46
2015-03-22,332.34,772.68,694.23,742.07
2015-03-29,344.04,747.69,665.63,720.23
2015-04-05,341.15,734.17,638.93,683.79
2015-04-12,331.58,737.77,637.52,661.11
2015-04-19,327.55,717.15,670.51,654.78
2015-04-26,335.92,685.85,683.69,650.55
2015-05-03,347.19,665.1,664.08,649.66
2015-05-10,362.19,604.86,680.7,644.55
2015-05-17,369.95,578.0,688.66,648.68
2015-05-24,387.1,583.58,659.5,622.18
2015-05-31,414.81,592.38,673.06,615.61
