Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-03-23,,,,
2014-03-30,,,,
2014-04-06,435.96,931.25,1120.0,687.58
2014-04-13,444.63,926.4,1110.38,691.31
2014-04-20,479.28,910.86,1071.54,659.36
2014-04-27,446.66,916.07,1114.49,618.66
2014-05-04,417.06,914.81,1087.83,570.28
2014-05-11,421.63,776.33,1074.84,575.26
2014-05-18,439.13,693.89,1007.83,578.72
2014-05-25,433.32,719.97,913.35,550.39
2014-06-01,405.0,736.51,881.61,533.33
2014-06-08,390.44,724.32,810.08,518.62
2014-06-15,349.44,695.69,763.73,492.4
2014-06-22,303.81,712.67,730.35,488.13
2014-06-29,312.61,722.15,689.25,486.42
2014-07-06,315.99,708.73,673.36,479.49
2014-07-13,303.37,696.12,647.04,472.31
2014-07-20,285.55,727.85,707.13,500.85
2014-07-27,283.44,686.99,748.28,506.24
2014-08-03,284.45,675.1,744.12,513.86
2014-08-10,288.95,736.82,793.4,553.73
2014-08-17,293.44,749.63,807.58,563.61
2014-08-24,290.07,735.82,819.92,569.31
2014-08-31,285.32,727.81,829.46,574.63
2014-09-07,283.94,737.66,830.85,582.89
2014-09-14,282.97,754.87,827.03,579.52
2014-09-21,281.84,751.3,800.59,564.29
2014-09-28,287.9,762.28,759.65,584.11
2014-10-05,284.25,732.3,744.3,583.08
2014-10-12,278.0,713.77,750.28,590.07
2014-10-19,273.71,707.61,777.62,605.78
2014-10-26,272.94,702.03,790.21,630.31
2014-11-02,267.69,721.67,813.51,667.44
2014-11-09,263.86,732.87,836.73,698.06
2014-11-16,260.58,759.23,875.73,753.95
2014-11-23,256.75,793.15,943.92,809.2
2014-11-30,260.3,823.56,1020.44,847.84
2014-12-07,275.54,853.37,1096.43,895.68
2014-12-14,278.16,894.83,1108.68,935.29
2014-12-21,285.92,922.52,1102.44,972.24
2014-12-28,292.38,930.06,1134.18,1039.52
2015-01-04,310.39,916.52,1120.46,1061.34
2015-01-11,315.3,891.93,1145.87,1066.91
2015-01-18,326.47,880.19,1125.53,1058.39
2015-01-25,324.52,855.31,1088.77,1046.83
2015-02-01,307.74,826.98,1017.52,1039.21
2015-02-08,301.29,810.86,995.22,1003.39
2015-02-15,299.37,796.63,992.68,996.87
2015-02-22,286.56,790.79,988.32,941.82
2015-03-01,277.22,780.5,1022.87,911.21
2015-03-08,264.2,800.44,1033.26,893.4
2015-03-15,253.19,783.0,1013.95,895.03
2015-03-22,249.56,770.65,983.93,866.65
2015-03-29,250.72,746.45,932.88,838.91
2015-04-05,252.23,722.97,907.55,816.49
2015-04-12,250.22,720.82,873.14,788.66
2015-04-19,250.51,689.17,895.78,767.62
2015-04-26,250.88,680.24,912.25,761.28
2015-05-03,247.72,653.04,854.17,728.11
2015-05-10,248.54,621.72,,
2015-05-17,,,,
2015-05-24,,,,
