Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-04-06,693.23,364.87,316.42,422.53
2014-04-13,627.64,374.59,319.91,426.98
2014-04-20,517.94,381.14,330.94,437.73
2014-04-27,397.3,380.21,329.79,407.55
2014-05-04,283.97,387.34,338.98,412.78
2014-05-11,214.43,351.58,320.55,413.87
2014-05-18,207.56,336.27,305.29,418.89
2014-05-25,209.65,351.11,328.11,429.07
2014-06-01,210.93,363.51,332.25,431.73
2014-06-08,210.91,358.62,337.9,436.43
2014-06-15,203.9,365.48,342.14,449.4
2014-06-22,202.84,381.74,353.19,471.48
2014-06-29,204.89,388.73,352.7,475.43
2014-07-06,203.18,406.97,352.41,447.28
2014-07-13,204.9,413.14,356.66,441.57
2014-07-20,205.48,411.98,352.57,453.42
2014-07-27,206.48,403.2,339.33,461.46
2014-08-03,207.45,408.55,341.77,449.02
2014-08-10,209.7,403.31,334.79,440.19
2014-08-17,214.5,405.61,339.8,437.29
2014-08-24,215.54,415.67,343.47,445.76
2014-08-31,217.06,395.29,344.07,452.34
2014-09-07,215.79,376.98,334.61,435.95
2014-09-14,216.39,370.25,333.12,423.97
2014-09-21,218.63,366.49,334.85,434.13
2014-09-28,219.63,362.45,335.87,462.89
2014-10-05,223.39,360.23,341.26,495.4
2014-10-12,219.76,362.03,348.21,503.19
2014-10-19,221.82,351.52,339.63,501.78
2014-10-26,226.83,346.65,334.43,501.6
2014-11-02,259.87,367.58,347.44,523.46
2014-11-09,288.77,391.98,363.48,548.2
2014-11-16,304.15,385.35,355.42,518.44
2014-11-23,389.1,408.07,371.01,520.72
2014-11-30,481.52,466.11,435.7,524.83
2014-12-07,539.47,487.01,449.79,514.21
2014-12-14,584.5,496.5,453.34,517.89
2014-12-21,623.66,515.65,469.69,522.55
2014-12-28,666.29,529.37,481.25,519.57
2015-01-04,683.02,542.87,489.98,514.94
2015-01-11,721.75,571.06,544.94,542.16
2015-01-18,725.99,583.53,624.9,549.2
2015-01-25,692.77,561.82,599.35,531.51
2015-02-01,721.64,541.61,554.84,526.71
2015-02-08,775.93,587.94,580.42,577.45
2015-02-15,815.56,556.44,548.37,540.97
2015-02-22,850.13,526.71,523.65,505.74
2015-03-01,897.31,506.86,516.61,492.19
2015-03-08,921.64,522.74,509.87,503.21
2015-03-15,916.57,582.05,420.53,517.15
2015-03-22,891.0,583.74,389.48,526.05
2015-03-29,808.26,579.95,382.12,527.36
2015-04-05,703.91,536.36,364.5,492.14
2015-04-12,606.21,524.98,368.25,491.57
2015-04-19,528.7,543.75,381.34,521.18
2015-04-26,437.27,540.01,382.0,533.82
2015-05-03,334.57,518.98,366.52,523.03
2015-05-10,274.77,461.29,369.34,490.78
2015-05-17,232.78,408.43,366.84,465.96
2015-05-24,217.84,380.66,333.73,432.63
2015-05-31,211.85,338.81,312.6,395.19
2015-06-07,211.62,333.12,302.84,386.04
