Time,Rango 00-06,Rango 06-12,Rango 12-18,Rango 18-00
2014-04-06,158.02,219.47,282.2,238.87
2014-04-13,184.91,203.0,365.71,241.39
2014-04-20,149.36,172.25,303.14,238.89
2014-04-27,162.08,262.44,270.26,274.73
2014-05-04,161.08,210.89,372.88,265.17
2014-05-11,169.28,374.84,348.32,256.53
2014-05-18,248.54,255.65,282.3,232.48
2014-05-25,194.45,301.37,402.19,247.15
2014-06-01,167.88,424.32,520.53,269.55
2014-06-08,205.61,493.83,459.51,369.12
2014-06-15,198.32,510.12,601.3,325.33
2014-06-22,192.93,378.33,515.79,329.93
2014-06-29,190.69,344.78,501.91,333.15
2014-07-06,221.86,407.55,614.31,318.82
2014-07-13,197.2,369.45,515.16,318.26
2014-07-20,227.3,447.44,475.42,333.52
2014-07-27,215.18,259.14,412.37,316.92
2014-08-03,481.07,577.37,435.01,547.12
2014-08-10,206.81,452.47,389.64,330.11
2014-08-17,182.46,261.0,376.69,271.26
2014-08-24,182.09,495.48,506.11,316.97
2014-08-31,175.48,282.86,576.0,255.74
2014-09-07,222.4,366.78,555.76,350.39
2014-09-14,204.47,375.02,519.42,385.69
2014-09-21,190.78,361.5,613.8,399.76
2014-09-28,186.99,523.41,621.64,324.82
2014-10-05,199.28,337.72,829.34,426.46
2014-10-12,180.06,354.25,688.49,547.23
2014-10-19,190.76,339.4,755.24,559.05
2014-10-26,188.06,421.2,600.25,443.34
2014-11-02,193.19,306.26,684.14,434.33
2014-11-09,180.28,371.41,574.15,513.47
2014-11-16,171.64,417.37,760.12,497.23
2014-11-23,177.28,359.23,603.64,461.77
2014-11-30,170.18,537.1,529.11,450.52
2014-12-07,164.79,406.9,902.35,658.59
2014-12-14,166.23,395.23,926.57,489.91
2014-12-21,165.86,408.24,716.3,441.98
2014-12-28,165.74,397.69,551.14,497.29
2015-01-04,159.71,404.09,528.0,529.88
2015-01-11,174.73,356.3,700.85,521.43
2015-01-18,169.3,447.62,641.93,579.58
2015-01-25,159.45,382.38,880.36,673.87
2015-02-01,169.57,481.06,723.59,471.45
2015-02-08,158.94,393.14,573.93,436.57
2015-02-15,162.1,477.44,699.26,505.44
2015-02-22,183.98,447.72,754.48,509.25
2015-03-01,1076.08,1241.46,1329.78,1594.94
2015-03-08,1074.42,1278.56,1322.65,903.77
2015-03-15,178.17,535.18,568.57,541.23
2015-03-22,164.82,418.37,897.86,513.06
2015-03-29,164.21,582.04,669.8,598.74
2015-04-05,174.02,328.93,1373.56,428.59
2015-04-12,173.88,452.22,775.27,505.27
2015-04-19,181.4,422.98,535.64,602.0
2015-04-26,176.86,421.94,658.8,385.89
2015-05-03,169.62,306.57,456.74,411.62
2015-05-10,195.86,414.12,488.22,477.45
2015-05-17,196.28,315.23,479.6,382.33
2015-05-24,161.31,312.82,490.84,335.21
